Date,apple_open,apple_high,apple_low,apple_close,apple_volume,microsoft_open,microsoft_high,microsoft_low,microsoft_close,microsoft_volume
2005-10-17,6.66,6.69,6.5,6.6,154208600,17.97,17.98,17.8,17.86,46924400
2005-10-18,6.57,6.66,6.44,6.45,152397000,17.83,18.08,17.8,17.89,69328200
2005-10-19,6.43,6.78,6.32,6.78,252170800,17.88,18.27,17.84,18.27,66574500
2005-10-20,6.72,6.97,6.71,6.93,339440500,18.24,18.3,18.02,18.05,58830600
2005-10-21,7.02,7.03,6.83,6.87,199181500,18.14,18.21,17.89,18.05,69431200
2005-10-24,6.82,7.01,6.8,7.01,152438300,18.13,18.28,17.97,18.28,51868000
2005-10-25,6.96,7.02,6.87,6.93,116281900,18.17,18.3,18.08,18.23,41310500
2005-10-26,6.95,7.11,6.9,7.04,157898300,18.18,18.45,18.15,18.29,58178100
2005-10-27,7.04,7.04,6.84,6.84,102885300,18.37,18.4,18.1,18.1,61566100
2005-10-28,6.92,6.97,6.69,6.72,192446800,18.28,18.64,18.28,18.59,106559300
2005-10-31,6.81,7.16,6.76,7.11,235211200,18.65,18.79,18.57,18.72,75122100
2005-11-01,7.07,7.18,7.02,7.1,187421500,18.65,19.01,18.65,18.9,71370400
2005-11-02,7.13,7.41,7.11,7.4,214265100,18.88,19.3,18.88,19.27,75067100
2005-11-03,7.44,7.69,7.42,7.64,221095700,19.37,19.4,19.12,19.25,73421600
2005-11-04,7.45,7.56,7.36,7.55,219508800,19.32,19.45,19.26,19.41,57464000
2005-11-07,7.51,7.61,7.42,7.44,159707800,19.46,19.72,19.44,19.67,77104800
2005-11-08,7.4,7.45,7.3,7.39,118441400,19.62,19.79,19.49,19.7,60091700
2005-11-09,7.41,7.56,7.41,7.42,138232500,19.65,19.77,19.62,19.63,59562100
2005-11-10,7.49,7.56,7.28,7.55,166336100,19.62,19.77,19.4,19.73,73314800
2005-11-11,7.6,7.67,7.57,7.6,106362200,19.77,19.95,19.76,19.87,51945600
2005-11-14,7.6,7.65,7.52,7.59,92483300,19.92,19.98,19.81,19.93,67152200
2005-11-15,7.6,7.79,7.59,7.69,134210300,19.96,20.11,19.9,20.08,65081000
